decision_id,chunk_id,pred_art,failure_mode
18/01102__2024-10-08,34,1850,statutory_language_not_applied
18/06267__2024-03-26,1,815-11,statutory_language_not_applied
20/00200__2025-01-09,1,1779,statutory_language_not_applied
20/02289__2024-11-08,13,1171,wrong_rule
20/02395__2025-05-27,136,1114,wrong_rule
20/09021__2024-01-11,30,1416,statutory_language_not_applied
20/11156__2024-01-19,14,2287-1,statutory_language_not_applied
20/11987__2024-05-28,4,2275,wrong_rule
21/01081__2024-07-25,14,1372,wrong_rule
21/02025__2024-02-02,5,2251,statutory_language_not_applied
21/03614__2025-02-20,60,2298,wrong_rule
21/05484__2024-11-27,23,2450,statutory_language_not_applied
22/00118__2024-06-10,68,2306,statutory_language_not_applied
22/01414__2025-03-18,194,1309,wrong_rule
22/01519__2024-09-13,35,1362,wrong_rule
22/01808__2024-01-15,0,372,wrong_rule
22/02364__2024-04-15,11,1096,statutory_language_not_applied
22/03447__2024-10-08,6,1373,wrong_rule
22/04099__2024-11-22,26,1792-6,statutory_language_not_applied
22/04692__2025-03-07,38,2293,statutory_language_not_applied
22/06036__2025-02-05,8,1984,statutory_language_not_applied
22/08349__2024-07-02,8,1169,wrong_rule
22/09129__2024-06-25,24,1119,statutory_language_not_applied
22/09312__2024-06-11,13,606,statutory_language_not_applied
22/10133__2024-07-18,29,1253,wrong_rule
22/13073__2025-05-27,54,1807,wrong_rule
22/13132__2025-04-28,8,1231-2,wrong_rule
23/00519__2025-02-03,5,2244,statutory_language_not_applied
23/00696__2024-06-11,1,1837,wrong_rule
23/01061__2024-06-03,8,1217,wrong_rule
23/01077__2024-03-14,12,354,wrong_rule
23/01359__2024-01-22,10,1719,wrong_rule
23/01820__2025-02-27,7,1378,wrong_rule
23/02642__2024-08-05,9,1127-4,statutory_language_not_applied
23/02985__2025-02-26,9,255,statutory_language_not_applied
23/03575__2024-02-13,25,2305,statutory_language_not_applied
23/03764__2024-12-20,10,1996,wrong_rule
23/04245__2024-08-22,12,1401,wrong_rule
23/05061__2024-01-16,22,832-4,statutory_language_not_applied
23/05254__2024-05-23,9,1313,statutory_language_not_applied
23/05930__2023-12-22,7,2309,statutory_language_not_applied
23/06168__2025-03-11,55,1654,statutory_language_not_applied
23/06514__2024-05-06,7,1110,statutory_language_not_applied
23/08448__2024-03-11,12,1956,statutory_language_not_applied
23/08738__2024-02-06,8,1344-1,wrong_rule
23/10029__2024-12-16,2,979,wrong_rule
23/56800__2023-12-21,6,1843-2,statutory_language_not_applied
24/00287__2025-04-04,1,2256,wrong_rule
24/00333__2024-04-04,7,1731,other
24/00338__2025-03-14,15,682,statutory_language_not_applied
24/00355__2025-01-21,14,1343-1,statutory_language_not_applied
24/00636__2024-06-07,9,1302,wrong_rule
24/00737__2024-09-16,25,1361,wrong_rule
24/00951__2025-02-19,18,1418,wrong_rule
24/01170__2025-02-04,19,682,statutory_language_not_applied
24/01182__2024-06-13,8,1601-1,statutory_language_not_applied
24/01239__2024-07-12,14,1601-1,statutory_language_not_applied
24/01570__2024-10-31,5,1843-2,wrong_rule
24/01781__2025-02-25,5,1353,statutory_language_not_applied
24/01840__2024-12-04,19,262-1,statutory_language_not_applied
24/01854__2025-03-13,14,1376,wrong_rule
24/01921__2025-03-06,19,1225,statutory_language_not_applied
24/07027__2025-02-12,10,1367,statutory_language_not_applied
24/07289__2025-03-19,9,1792-1,statutory_language_not_applied
24/09791__2025-05-22,11,1229,statutory_language_not_applied
24/82001__2025-01-16,22,376-1,statutory_language_not_applied
